id,marital_status,custody_status,count_prison_stays,time_in_prison,case_m,case_f,case_total,case_hard,case_drug,case_gambling,age_first_offense,count_arrest
1530,Married,Jail Inmate,0,,2,0,3,0,0,0,66,2
1531,Single,Pretrial Defendant,0,,3,0,7,0,2,0,17,4
1532,Married,Jail Inmate,0,,0,0,2,0,0,0,35,0
1533,Single,Pretrial Defendant,0,,0,1,2,1,0,0,33,2
1534,Single,Jail Inmate,0,,6,3,21,0,0,0,19,8
1535,Single,Jail Inmate,0,,9,0,13,0,0,0,19,5
1536,Single,Jail Inmate,0,,1,1,2,1,0,0,20,2
1537,Single,Jail Inmate,1,2552,14,0,19,0,1,0,17,8
1538,Divorced,Jail Inmate,0,,9,1,16,0,0,0,38,10
1539,Single,Jail Inmate,0,,,,,,,,,0
1540,Single,Jail Inmate,0,,7,3,21,2,2,0,18,12
1541,Divorced,Jail Inmate,0,,1,1,3,0,0,0,29,0
1542,Single,Jail Inmate,1,8376,25,10,48,4,5,0,17,24
1543,Single,Jail Inmate,1,20200,8,9,19,4,5,0,18,25
1544,Single,Jail Inmate,0,,10,23,36,9,2,0,18,30
1545,Unknown,Jail Inmate,0,,3,1,11,0,0,0,24,3
1546,Single,Jail Inmate,0,,4,0,8,0,0,0,24,2
1547,Widowed,Jail Inmate,0,,1,1,2,0,2,0,48,2
1548,Single,Jail Inmate,0,,7,4,32,0,2,0,18,11
1549,Single,Pretrial Defendant,0,,2,2,6,2,0,0,17,1
1550,Single,Jail Inmate,0,,0,1,1,0,0,0,55,1
1551,Married,Jail Inmate,0,,1,0,2,0,0,0,48,0
1552,Single,Jail Inmate,0,,1,0,2,0,0,0,36,1
1553,Divorced,Jail Inmate,0,,1,1,5,0,0,0,46,1
1554,Single,Pretrial Defendant,0,,0,2,2,0,0,0,22,2
1555,Single,Jail Inmate,0,,2,0,4,0,1,0,19,1
1556,Single,Pretrial Defendant,1,32160,3,6,9,1,0,0,15,10
1557,Married,Jail Inmate,0,,0,1,1,1,0,0,52,1
1558,Single,Pretrial Defendant,0,,4,5,24,2,3,0,17,11
1559,Married,Jail Inmate,0,,6,1,22,0,1,0,16,4
1560,Single,Jail Inmate,1,1124,2,2,8,0,1,0,50,1
1561,Married,Jail Inmate,0,,1,0,1,0,0,0,33,0
1562,Single,Jail Inmate,0,,0,6,8,0,0,0,23,2
1563,Single,Jail Inmate,0,,3,3,9,0,0,0,57,6
1564,Single,Jail Inmate,0,,18,4,32,0,7,0,19,20
1565,Single,Jail Inmate,0,,26,8,62,0,3,0,24,49
1566,Single,Pretrial Defendant,2,14952,18,7,26,0,7,0,28,28
1567,Single,Jail Inmate,0,,3,1,5,0,3,0,20,4
1568,Single,Jail Inmate,0,,2,2,7,0,0,0,25,2
1569,Single,Jail Inmate,0,,16,3,22,0,2,0,18,7
1570,Single,Jail Inmate,0,,0,1,1,0,1,0,37,1
1571,Single,Jail Inmate,0,,1,1,2,0,0,0,43,2
1572,Significant Other,Jail Inmate,0,,4,2,12,1,0,0,22,3
1573,Significant Other,Pretrial Defendant,0,,1,0,5,0,0,0,20,7
1574,Married,Jail Inmate,0,,1,0,2,0,0,0,26,1
1575,Single,Jail Inmate,0,,10,0,16,0,0,0,21,9
1576,Single,Jail Inmate,6,98280,15,12,33,0,11,1,16,36
1577,Single,Jail Inmate,0,,3,0,9,0,0,0,45,1
1578,Married,Pretrial Defendant,0,,0,5,6,0,0,0,35,5
1579,Married,Jail Inmate,0,,2,0,4,0,0,0,37,1
1580,Separated,Jail Inmate,0,,1,0,6,0,0,0,23,1
1581,Single,Jail Inmate,0,,6,2,14,0,4,0,32,5
1582,Single,Jail Inmate,0,,0,0,1,0,0,0,22,0
1583,Single,Pretrial Defendant,0,,8,8,16,2,5,0,19,26
1584,Single,Jail Inmate,0,,0,2,5,0,0,0,21,2
1585,Single,Pretrial Defendant,0,,1,0,1,0,0,0,24,1
1586,Single,Jail Inmate,0,,1,1,2,0,0,0,25,1
1587,Married,Jail Inmate,0,,0,5,5,0,0,0,52,5
1588,Single,Pretrial Defendant,0,,4,1,5,1,1,0,27,3
1589,Single,Jail Inmate,0,,1,7,9,2,0,0,31,8
1590,Single,Jail Inmate,0,,3,1,7,0,0,0,38,3
1591,Divorced,Jail Inmate,0,,1,0,4,0,0,0,48,0
1592,Separated,Pretrial Defendant,1,17550,7,8,21,2,0,0,47,27
1593,Single,Jail Inmate,0,,1,1,3,0,2,0,55,3
1594,Single,Jail Inmate,0,,1,0,3,0,0,0,19,1
1595,Single,Jail Inmate,7,111696,16,21,43,1,18,0,19,39
1596,Single,Jail Inmate,0,,4,2,11,0,3,0,20,2
1597,Single,Jail Inmate,0,,1,2,3,0,0,0,37,2
1598,Single,Jail Inmate,0,,0,1,1,0,0,0,56,1
1599,Single,Jail Inmate,0,,4,0,6,0,0,0,35,6
1600,Single,Pretrial Defendant,0,,0,3,3,1,0,0,33,3
1601,Divorced,Jail Inmate,0,,11,1,22,1,0,0,25,8
1602,Single,Jail Inmate,0,,4,2,10,1,2,0,24,5
1603,Single,Jail Inmate,0,,2,1,3,0,1,0,23,1
1604,Single,Jail Inmate,0,,4,2,11,1,0,0,20,9
1605,Single,Jail Inmate,0,,3,0,5,0,2,0,19,3
1606,Single,Jail Inmate,0,,0,1,1,1,0,0,28,1
1607,Single,Jail Inmate,0,,11,3,31,0,0,0,20,5
1608,Divorced,Jail Inmate,0,,71,9,83,0,6,0,28,76
1609,Single,Jail Inmate,0,,8,5,19,2,2,0,19,18
1610,Single,Pretrial Defendant,0,,3,1,17,0,1,0,16,4
1611,Married,Jail Inmate,0,,5,4,13,0,5,0,22,12
1612,Single,Jail Inmate,4,19116,2,7,9,0,6,0,26,12
1613,Single,Jail Inmate,0,,3,4,18,1,1,0,25,5
1614,Divorced,Pretrial Defendant,0,,1,1,10,0,2,0,32,2
1615,Married,Jail Inmate,0,,1,1,2,0,0,0,36,2
1616,Single,Jail Inmate,0,,2,1,5,0,0,0,39,3
1617,Married,Jail Inmate,0,,6,0,7,0,0,0,21,5
1618,Separated,Jail Inmate,0,,0,1,6,1,0,0,28,1
1619,Separated,Jail Inmate,1,4494,0,3,10,0,0,0,24,7
1620,Married,Jail Inmate,0,,1,1,2,0,0,0,50,2
1621,Single,Pretrial Defendant,0,,3,1,5,0,0,0,49,4
1622,Single,Jail Inmate,0,,7,1,12,0,0,0,46,8
1623,Significant Other,Jail Inmate,3,44564,23,16,52,2,4,0,22,52
1624,Single,Jail Inmate,0,,6,9,16,2,4,0,18,12
1625,Single,Jail Inmate,0,,7,3,11,1,3,0,18,12
1625,Single,Pretrial Defendant,0,,7,3,11,1,3,0,18,1
1626,Single,Jail Inmate,0,,0,6,7,0,4,0,23,2
1627,Single,Jail Inmate,0,,3,1,4,1,0,0,21,2
1628,Married,Jail Inmate,0,,1,0,1,1,0,0,46,1
1629,Single,Jail Inmate,0,,1,9,23,0,0,0,20,12
1630,Single,Jail Inmate,1,11680,0,7,7,1,4,0,32,16
1631,Single,Jail Inmate,0,,4,2,10,0,5,0,42,6
1632,Single,Jail Inmate,2,34208,13,10,36,0,8,0,18,32
1633,Married,Jail Inmate,0,,2,0,4,0,0,0,51,1
1634,Single,Jail Inmate,0,,6,1,8,0,1,0,36,5
1635,Single,Prison Inmate,0,,1,1,4,0,1,0,17,2
1636,Single,Jail Inmate,0,,,,,,,,,0
1637,Married,Pretrial Defendant,0,,0,1,12,1,0,0,28,1
1638,Single,Jail Inmate,0,,14,11,29,1,9,0,26,26
1639,Divorced,Jail Inmate,0,,4,6,10,1,0,0,36,10
1640,Married,Jail Inmate,0,,2,1,4,0,0,0,27,2
1641,Single,Jail Inmate,0,,1,1,3,0,0,0,30,3
1642,Significant Other,Jail Inmate,0,,4,0,4,0,0,0,26,3
1643,Single,Jail Inmate,0,,0,1,1,0,1,0,23,0
1644,Separated,Jail Inmate,0,,4,0,7,0,0,0,38,4
1645,Single,Jail Inmate,0,,3,1,15,1,0,0,18,3
1646,Separated,Jail Inmate,0,,2,0,3,0,0,0,44,0
1647,Single,Jail Inmate,0,,4,3,18,0,6,0,18,7
1648,Single,Jail Inmate,0,,3,1,6,0,1,0,46,0
1649,Single,Jail Inmate,1,108498,0,26,26,14,0,0,17,26
1650,Single,Pretrial Defendant,5,166000,47,24,131,7,3,0,25,125
1651,Married,Jail Inmate,0,,4,3,8,1,0,0,46,2
1652,Married,Jail Inmate,0,,1,13,14,13,0,0,45,13
1653,Single,Pretrial Defendant,0,,5,2,8,0,0,0,24,7
1654,Single,Pretrial Defendant,0,,0,2,9,1,1,0,18,2
1655,Single,Jail Inmate,0,,3,1,12,1,0,0,17,4
1656,Single,Pretrial Defendant,0,,2,0,4,0,0,0,38,3
1657,Significant Other,Jail Inmate,0,,1,1,2,0,0,0,29,2
1658,Divorced,Jail Inmate,0,,2,0,4,0,0,0,48,0
1659,Single,Jail Inmate,0,,2,0,7,0,1,0,20,1
1660,Single,Jail Inmate,2,20520,4,33,46,11,8,0,16,27
1661,Single,Residential Program,0,,1,3,9,0,1,0,28,4
1662,Single,Jail Inmate,0,,0,1,4,1,0,0,27,1
1663,Married,Jail Inmate,0,,1,0,3,0,0,0,37,1
1664,Single,Jail Inmate,0,,4,1,19,0,2,0,18,3
1665,Single,Jail Inmate,0,,1,0,1,0,1,0,26,0
1666,Single,Pretrial Defendant,0,,6,1,7,1,2,0,60,4
1667,Single,Jail Inmate,0,,2,0,3,0,1,0,18,1
1668,Married,Jail Inmate,3,41106,20,4,32,0,8,0,16,39
1669,Single,Jail Inmate,0,,9,4,14,1,3,0,18,17
1670,Single,Jail Inmate,0,,6,4,11,1,2,0,20,14
1671,Single,Jail Inmate,0,,0,1,2,1,0,0,22,1
1672,Single,Jail Inmate,0,,1,1,2,1,0,0,18,2
1673,Single,Pretrial Defendant,1,7084,30,7,39,1,0,0,21,23
1674,Married,Jail Inmate,0,,0,1,3,0,0,0,21,1
1675,Single,Jail Inmate,0,,,,,,,,,0
1676,Married,Pretrial Defendant,0,,2,0,2,0,0,0,51,2
1677,Divorced,Jail Inmate,0,,1,0,10,0,0,0,44,2
1678,Separated,Pretrial Defendant,0,,7,1,13,0,2,0,46,9
1679,Married,Jail Inmate,0,,1,0,8,0,0,0,25,1
1680,Married,Pretrial Defendant,0,,5,3,23,0,4,0,29,21
1681,Single,Jail Inmate,0,,5,4,25,0,3,0,31,16
1682,Single,Jail Inmate,0,,4,2,10,1,0,0,22,4
1683,Single,Pretrial Defendant,0,,8,4,17,2,0,0,19,8
1684,Single,Jail Inmate,0,,1,1,3,1,0,0,18,4
1685,Significant Other,Jail Inmate,0,,2,2,9,1,1,0,21,0
1686,Single,Jail Inmate,0,,6,1,10,1,0,0,18,4
1687,Divorced,Jail Inmate,0,,4,0,17,0,0,0,19,7
1688,Single,Jail Inmate,0,,11,1,20,0,5,0,19,15
1689,Single,Jail Inmate,0,,12,0,24,0,2,0,37,9
1690,Single,Jail Inmate,0,,0,1,1,0,0,0,29,1
1691,Single,Jail Inmate,1,786,4,4,10,1,6,0,16,6
1692,Single,Pretrial Defendant,0,,2,0,3,0,0,0,43,2
1693,Single,Jail Inmate,0,,1,0,6,0,0,0,23,0
1694,Single,Jail Inmate,0,,1,1,13,1,0,0,18,2
1695,Single,Jail Inmate,3,19695,4,4,8,0,4,0,24,13
1696,Single,Pretrial Defendant,0,,10,4,19,0,2,0,19,15
1697,Single,Jail Inmate,0,,1,2,3,0,2,0,22,3
1698,Single,Pretrial Defendant,0,,3,0,4,0,0,0,20,3
1699,Single,Jail Inmate,0,,5,1,13,0,0,0,24,9
1700,Single,Jail Inmate,0,,5,0,33,0,3,0,18,2
1701,Single,Jail Inmate,0,,3,3,6,1,0,0,18,7
1702,Single,Pretrial Defendant,0,,28,58,105,9,4,0,23,65
1703,Single,Jail Inmate,1,4646,6,7,20,0,0,0,23,23
1704,Single,Jail Inmate,0,,2,0,2,0,0,0,46,1
1705,Single,Jail Inmate,0,,7,7,19,2,2,0,21,21
1706,Significant Other,Jail Inmate,1,5616,7,3,19,1,1,0,19,12
1706,Single,Jail Inmate,1,6084,7,3,19,1,1,0,19,13
1707,Single,Jail Inmate,0,,2,2,9,0,2,0,18,4
1708,Significant Other,Jail Inmate,0,,2,2,13,0,0,0,17,4
1709,Single,Jail Inmate,0,,27,4,43,1,3,0,17,37
1710,Single,Pretrial Defendant,0,,3,3,7,1,0,0,34,4
1711,Significant Other,Jail Inmate,0,,2,0,3,0,0,0,36,0
1712,Significant Other,Jail Inmate,0,,0,0,3,0,0,0,47,0
1713,Single,Jail Inmate,0,,2,0,10,0,0,0,17,1
1714,Single,Pretrial Defendant,0,,0,3,3,0,0,0,23,3
1715,Significant Other,Jail Inmate,0,,12,7,25,1,2,0,21,21
1715,Single,Jail Inmate,0,,12,7,25,1,2,0,21,24
1716,Single,Jail Inmate,0,,10,6,18,1,3,0,19,12
1717,Single,Jail Inmate,2,15897,8,5,20,2,1,0,30,7
1718,Single,Jail Inmate,1,3924,8,10,26,4,7,0,15,36
1719,Divorced,Jail Inmate,0,,5,2,31,0,0,0,39,6
1720,Single,Pretrial Defendant,0,,,,,,,,,0
1721,Divorced,Jail Inmate,0,,,,,,,,,0
1722,Single,Jail Inmate,0,,3,3,15,0,0,0,23,10
1723,Single,Jail Inmate,0,,0,2,2,0,0,0,40,2
1724,Single,Pretrial Defendant,0,,3,2,10,0,0,0,36,3
1725,Single,Jail Inmate,0,,2,1,6,1,0,0,23,1
1726,Married,Jail Inmate,0,,1,0,1,0,0,0,23,1
1727,Single,Pretrial Defendant,0,,0,10,16,5,0,0,42,5
1728,Single,Pretrial Defendant,0,,10,6,17,0,0,0,20,13
1729,Significant Other,Jail Inmate,0,,3,0,18,0,2,0,31,2
1730,Single,Jail Inmate,2,25300,8,10,23,0,4,0,22,22
1731,Widowed,Pretrial Defendant,0,,0,1,4,0,0,0,45,2
1732,Single,Jail Inmate,0,,6,2,9,0,1,0,21,9
1733,Single,Jail Inmate,7,42304,6,5,18,1,2,0,24,16
1734,Single,Jail Inmate,0,,1,0,1,0,0,0,38,1
1735,Married,Jail Inmate,0,,1,0,2,0,0,0,34,0
1736,Single,Jail Inmate,0,,0,1,1,0,0,0,21,1
1737,Single,Jail Inmate,0,,17,5,32,1,2,0,18,22
1738,Single,Jail Inmate,0,,3,1,10,0,0,0,22,4
1739,Single,Jail Inmate,0,,0,2,6,0,0,0,17,2
1740,Single,Jail Inmate,0,,,,,,,,,0
1741,Single,Jail Inmate,0,,11,29,40,4,2,0,18,11
1742,Single,Jail Inmate,0,,3,2,6,0,0,0,18,1
1743,Married,Jail Inmate,0,,1,0,1,0,0,0,39,1
1744,Single,Jail Inmate,0,,,,,,,,,0
1745,Single,Pretrial Defendant,0,,0,1,1,0,1,0,24,1
1746,Single,Jail Inmate,0,,3,2,7,0,3,0,21,0
1747,Single,Pretrial Defendant,2,11067,5,4,9,2,1,0,24,17
1748,Single,Pretrial Defendant,0,,,,,,,,,0
1749,Single,Jail Inmate,0,,7,0,10,0,0,0,59,9
1750,Single,Jail Inmate,0,,2,2,5,0,1,0,21,1
1751,Single,Jail Inmate,0,,4,1,6,0,1,0,27,6
1752,Single,Jail Inmate,0,,1,1,2,1,0,0,57,0
1753,Single,Jail Inmate,0,,0,1,1,1,0,0,31,1
1754,Single,Jail Inmate,0,,1,0,3,0,0,0,30,1
1755,Single,Jail Inmate,0,,0,1,1,1,0,0,22,1
1756,Married,Pretrial Defendant,0,,1,2,3,2,0,0,54,1
1757,Single,Jail Inmate,0,,1,0,4,0,0,0,23,0
1758,Single,Jail Inmate,0,,1,0,1,0,0,0,18,1
1759,Single,Pretrial Defendant,0,,18,9,41,0,4,0,19,62
1760,Single,Jail Inmate,0,,12,4,26,0,9,0,33,7
1761,Single,Jail Inmate,0,,2,4,6,1,0,0,18,6
1762,Divorced,Jail Inmate,0,,6,12,18,2,0,0,40,34
1763,Significant Other,Jail Inmate,0,,,,,,,,,0
1764,Single,Pretrial Defendant,0,,3,0,5,0,0,0,24,3
1765,Single,Jail Inmate,0,,3,0,3,0,1,1,16,0
1766,Single,Pretrial Defendant,0,,3,2,15,1,0,0,22,5
1767,Single,Pretrial Defendant,0,,,,,,,,,0
1768,Single,Pretrial Defendant,0,,0,2,7,0,0,0,51,2
1769,Single,Jail Inmate,0,,1,4,9,0,0,0,20,0
1770,Single,Jail Inmate,0,,5,1,14,0,4,0,18,2
1771,Single,Jail Inmate,0,,3,2,7,0,0,0,18,3
1772,Married,Jail Inmate,0,,6,17,33,0,10,0,17,15
1773,Divorced,Jail Inmate,0,,,,,,,,,0
1774,Single,Jail Inmate,0,,2,0,5,0,0,0,16,1
1775,Single,Jail Inmate,0,,,,,,,,,0
1776,Single,Jail Inmate,0,,1,3,4,0,0,0,18,8
1777,Single,Pretrial Defendant,0,,4,2,12,1,0,0,17,0
1778,Single,Jail Inmate,1,45150,13,22,37,8,1,0,16,50
1779,Married,Jail Inmate,0,,1,0,1,0,0,0,59,1
1780,Single,Jail Inmate,0,,1,8,11,2,4,0,19,14
1781,Single,Jail Inmate,0,,4,0,5,0,0,0,28,1
1782,Married,Jail Inmate,0,,4,0,23,0,0,0,18,3
1783,Single,Jail Inmate,0,,0,2,2,1,0,0,18,1
1784,Single,Pretrial Defendant,0,,10,3,17,1,1,0,14,23
1785,Significant Other,Jail Inmate,2,28688,13,9,27,0,15,0,18,22
1786,Single,Jail Inmate,4,18576,10,4,22,1,4,0,15,18
1787,Single,Jail Inmate,0,,0,1,1,0,0,0,21,1
1788,Single,Pretrial Defendant,0,,7,2,9,0,0,0,18,3
1789,Single,Probation,0,,,,,,,,,0
1790,Single,Jail Inmate,0,,1,0,1,0,0,0,22,1
1791,Single,Jail Inmate,1,19362,13,7,28,0,6,0,18,21
1792,Single,Jail Inmate,0,,18,7,36,1,2,0,18,23
1793,Divorced,Jail Inmate,0,,0,1,1,0,0,0,56,1
1794,Separated,Jail Inmate,0,,3,2,7,0,1,0,31,3
1795,Single,Jail Inmate,0,,1,1,4,1,0,0,19,1
1796,Single,Jail Inmate,0,,2,1,6,0,1,0,19,2
1797,Single,Jail Inmate,1,5269,7,3,14,2,1,0,18,11
1798,Single,Pretrial Defendant,1,22085,5,18,26,3,0,0,20,35
1799,Single,Pretrial Defendant,0,,0,1,3,0,1,0,23,1
1800,Married,Pretrial Defendant,0,,9,1,20,2,3,0,35,10
1801,Significant Other,Jail Inmate,0,,1,0,1,0,0,0,21,0
1802,Married,Pretrial Defendant,0,,0,1,1,0,0,0,60,1
1803,Single,Jail Inmate,0,,1,0,1,0,0,0,32,1
1804,Divorced,Jail Inmate,0,,1,1,2,0,1,0,31,3
1805,Single,Jail Inmate,0,,12,5,22,3,2,0,17,16
1806,Single,Jail Inmate,0,,15,1,20,0,1,0,27,16
1807,Single,Pretrial Defendant,0,,0,0,1,0,0,0,35,0
1808,Single,Jail Inmate,0,,10,3,24,2,0,0,18,11
1809,Single,Jail Inmate,0,,10,2,12,0,1,0,22,1
1810,Married,Jail Inmate,0,,1,0,2,0,0,0,27,1
1811,Married,Jail Inmate,0,,0,0,2,0,0,0,36,0
1812,Single,Pretrial Defendant,0,,0,1,13,1,0,0,24,0
1813,Single,Jail Inmate,0,,5,2,15,0,0,0,28,8
1814,Single,Jail Inmate,0,,5,2,7,0,5,0,33,6
1815,Single,Jail Inmate,0,,3,0,4,0,0,0,38,3
1816,Single,Jail Inmate,0,,16,6,27,0,5,0,21,21
1817,Married,Jail Inmate,0,,8,3,13,2,0,0,21,11
1818,Single,Jail Inmate,0,,1,0,4,0,0,0,24,1
1819,Single,Jail Inmate,0,,4,3,14,0,4,0,18,11
1820,Single,Jail Inmate,0,,2,5,13,1,0,0,33,7
1821,Single,Jail Inmate,0,,5,0,15,0,0,0,20,2
1822,Single,Jail Inmate,0,,3,2,8,0,2,0,23,2
1823,Married,Jail Inmate,0,,0,1,1,0,0,0,35,0
1824,Single,Pretrial Defendant,0,,0,2,6,1,0,0,16,2
1825,Married,Jail Inmate,0,,,,,,,,,0
1826,Single,Jail Inmate,0,,2,0,18,0,0,0,28,3
1827,Single,Jail Inmate,0,,3,4,9,2,1,0,19,6
1828,Married,Jail Inmate,0,,0,1,1,0,0,0,34,1
1829,Single,Jail Inmate,0,,2,1,5,0,2,0,24,0
1830,Single,Jail Inmate,0,,7,4,11,2,1,0,19,5
1831,Single,Jail Inmate,0,,2,5,7,2,1,0,24,6
1832,Single,Pretrial Defendant,0,,6,5,11,2,0,0,21,13
1833,Single,Jail Inmate,0,,4,1,5,0,4,0,20,5
1834,Single,Jail Inmate,0,,0,1,4,0,1,0,28,1
1835,Single,Pretrial Defendant,0,,1,4,14,0,1,0,21,6
1836,Significant Other,Jail Inmate,0,,0,1,1,1,0,0,31,1
1837,Single,Pretrial Defendant,1,6903,2,5,8,0,4,0,18,13
1838,Significant Other,Jail Inmate,0,,2,1,6,0,0,0,38,4
1839,Single,Jail Inmate,0,,9,10,21,0,6,0,18,28
1840,Single,Pretrial Defendant,0,,12,11,38,0,5,0,21,20
1841,Married,Pretrial Defendant,0,,2,0,5,0,0,0,33,3
1842,Single,Pretrial Defendant,0,,0,1,3,0,0,0,23,1
1843,Married,Pretrial Defendant,0,,5,0,12,0,1,0,27,2
1844,Married,Pretrial Defendant,0,,19,6,30,2,0,0,29,29
1844,Single,Jail Inmate,0,,19,6,30,2,0,0,29,21
1845,Single,Pretrial Defendant,0,,2,2,5,0,3,0,25,3
1846,Single,Pretrial Defendant,0,,2,5,7,1,0,0,18,7
1847,Single,Jail Inmate,0,,4,0,8,0,0,0,38,5
1848,Single,Jail Inmate,0,,4,2,8,0,1,0,42,3
1849,Significant Other,Jail Inmate,0,,11,2,22,2,0,0,19,6
1850,Single,Jail Inmate,0,,8,3,13,2,0,0,18,5
1851,Single,Jail Inmate,1,17703,27,21,53,5,5,0,17,63
1852,Single,Jail Inmate,0,,14,4,25,3,9,0,19,22
1853,Single,Jail Inmate,0,,1,2,3,2,0,0,35,0
1854,Single,Jail Inmate,0,,3,4,10,2,3,0,20,9
1855,Single,Jail Inmate,0,,4,2,7,1,1,0,18,7
1856,Single,Jail Inmate,0,,2,2,4,0,1,0,18,4
1857,Married,Jail Inmate,1,119,2,1,5,1,0,0,25,0
1858,Single,Jail Inmate,0,,0,2,2,1,0,0,19,2
1859,Single,Jail Inmate,0,,7,3,10,0,3,0,31,2
1860,Single,Jail Inmate,0,,4,7,14,0,8,0,18,8
1861,Single,Jail Inmate,0,,2,6,9,1,4,0,27,7
1862,Single,Jail Inmate,0,,2,0,14,1,0,0,23,1
1863,Single,Jail Inmate,0,,4,2,20,1,3,0,16,5
1864,Married,Jail Inmate,0,,2,0,7,0,0,0,35,2
1865,Married,Jail Inmate,0,,1,2,3,0,0,0,33,3
1866,Single,Jail Inmate,0,,1,0,1,0,0,0,29,1
1867,Single,Jail Inmate,0,,1,0,1,0,0,0,26,0
1868,Single,Jail Inmate,0,,1,0,10,0,0,0,19,1
1869,Married,Jail Inmate,0,,3,0,6,0,0,0,29,3
1870,Single,Jail Inmate,0,,0,1,1,0,0,0,18,0
1871,Single,Jail Inmate,0,,8,5,15,0,1,0,20,12
1872,Single,Jail Inmate,0,,1,0,4,0,0,0,32,1
1873,Single,Residential Program,0,,0,2,2,0,0,0,27,2
1874,Single,Jail Inmate,0,,2,0,4,0,0,0,23,1
1875,Single,Pretrial Defendant,0,,4,1,7,0,0,0,28,3
1876,Married,Pretrial Defendant,0,,5,5,10,1,1,0,40,9
1877,Single,Jail Inmate,0,,3,1,6,0,4,0,18,2
1878,Single,Jail Inmate,0,,4,6,11,3,0,0,18,13
1879,Single,Jail Inmate,0,,1,1,2,0,0,0,18,2
1880,Single,Jail Inmate,0,,21,7,50,1,3,0,15,7
1881,Married,Jail Inmate,0,,2,1,3,0,0,0,39,0
1882,Single,Pretrial Defendant,0,,9,13,26,2,1,0,17,18
1883,Married,Jail Inmate,0,,1,0,1,0,0,0,38,0
1884,Single,Jail Inmate,0,,2,1,8,0,0,0,22,1
1885,Single,Pretrial Defendant,0,,1,3,4,2,0,0,50,4
1886,Divorced,Jail Inmate,3,19629,7,8,27,2,3,0,24,27
1887,Single,Jail Inmate,0,,1,0,1,0,0,0,19,1
1888,Single,Jail Inmate,1,2574,10,2,22,0,3,0,27,18
1889,Single,Jail Inmate,0,,1,0,2,0,0,0,17,1
1890,Single,Jail Inmate,0,,6,2,8,0,1,0,19,8
1891,Single,Jail Inmate,0,,0,1,1,0,0,0,29,1
1892,Single,Jail Inmate,0,,,,,,,,,0
1893,Single,Jail Inmate,0,,5,1,9,0,3,0,18,6
1894,Single,Jail Inmate,0,,6,1,9,0,1,0,25,4
1895,Single,Jail Inmate,2,31668,7,16,26,2,3,0,16,14
1896,Single,Jail Inmate,0,,0,0,2,0,0,0,35,0
1897,Single,Jail Inmate,0,,3,4,11,0,5,0,17,4
1898,Single,Jail Inmate,0,,1,1,4,0,0,0,24,3
1899,Separated,Jail Inmate,0,,1,0,7,0,0,0,29,1
1900,Single,Jail Inmate,0,,10,6,42,3,9,0,19,13
1901,Single,Jail Inmate,0,,0,2,3,0,2,0,39,1
1902,Single,Pretrial Defendant,0,,6,4,27,0,3,0,22,13
1903,Married,Jail Inmate,0,,2,0,2,0,0,0,34,1
1904,Single,Jail Inmate,0,,1,1,11,0,0,0,25,0
1905,Single,Jail Inmate,0,,0,1,4,0,0,0,20,1
1906,Single,Jail Inmate,0,,4,0,6,0,1,0,22,4
1907,Single,Jail Inmate,0,,6,1,10,0,1,0,20,3
1908,Single,Pretrial Defendant,0,,4,0,6,0,0,0,18,1
1909,Married,Jail Inmate,0,,1,0,1,0,0,0,54,0
1910,Significant Other,Jail Inmate,0,,3,5,17,1,1,0,23,6
1911,Single,Jail Inmate,0,,11,8,24,2,6,0,19,34
1912,Married,Jail Inmate,0,,1,0,3,0,0,0,43,1
1913,Single,Jail Inmate,0,,0,2,2,1,0,0,19,2
1914,Single,Jail Inmate,0,,5,2,8,1,0,0,19,3
1915,Single,Jail Inmate,3,16560,9,6,18,1,4,0,30,8
1916,Single,Pretrial Defendant,0,,1,2,3,0,0,0,51,3
1917,Divorced,Pretrial Defendant,0,,1,2,4,0,0,0,30,3
1918,Single,Jail Inmate,0,,1,0,4,0,0,0,41,1
1919,Single,Jail Inmate,0,,9,1,19,0,0,0,29,9
1920,Single,Jail Inmate,1,2664,6,4,15,1,1,0,17,8
1921,Single,Pretrial Defendant,0,,29,16,63,3,8,0,18,74
1922,Single,Jail Inmate,0,,3,4,8,1,0,0,27,6
1923,Single,Jail Inmate,2,101094,12,18,40,9,0,0,18,46
1924,Single,Jail Inmate,0,,4,4,8,0,0,0,18,6
1925,Married,Jail Inmate,0,,1,0,2,0,0,0,37,1
1926,Married,Pretrial Defendant,0,,7,0,21,0,0,0,34,4
1927,Married,Jail Inmate,0,,8,2,26,0,0,0,24,8
1927,Single,Jail Inmate,0,,8,2,26,0,0,0,24,2
1928,Single,Pretrial Defendant,0,,6,4,17,0,6,0,18,17
1929,Single,Jail Inmate,0,,5,1,6,0,0,0,25,2
1930,Single,Jail Inmate,0,,2,0,2,0,0,0,47,2
1931,Single,Jail Inmate,0,,1,0,4,0,1,0,40,1
1932,Married,Jail Inmate,0,,0,0,1,0,0,0,33,0
1933,Separated,Jail Inmate,0,,5,2,10,0,2,0,21,5
1934,Single,Jail Inmate,0,,1,0,1,0,0,0,52,1
1935,Single,Jail Inmate,0,,1,0,3,0,0,0,33,1
1936,Single,Jail Inmate,0,,3,2,7,0,3,0,18,5
1937,Married,Jail Inmate,0,,2,3,7,2,2,0,53,5
1938,Single,Pretrial Defendant,0,,5,2,9,0,2,0,31,7
